group,datum
0,-2.64737065978006
0,-3.37744596688033
0,-3.27732263555332
0,-2.19901100808946
0,-5.35214449038719
0,-2.6019113806656
0,-3.38732932007848
0,0.068169504362335
0,-3.66814539848794
0,-2.92750125673448
0,-4.85736644273997
0,-4.28867453629744
0,-2.93625377826674
0,-3.51636279173346
0,-3.48968037500442
0,-3.5981836705573
0,-2.2438092254384
0,-4.51461201770266
0,-2.8739153885597
0,-4.53829745388806
0,-4.24758100507021
0,-5.11714663525942
0,-2.7660654815925
0,-4.81070701685957
0,-5.61736813759658
0,-3.45630772728617
0,-4.48435849100562
0,-6.05778107748253
0,-2.6967129572883
0,-3.68110145077823
0,-3.82830436443095
0,-3.85996137952037
0,-2.3154523609535
0,-3.95063540026501
0,-4.97711544421947
0,-2.7330994437861
0,-3.25514810472064
0,-3.59920735267975
0,-4.74485853027135
0,-5.17975298234754
0,-4.55084862613799
0,-3.12268306221862
0,-2.94314130802358
0,-3.78391886964281
0,-1.33302660293352
0,-3.04392358428143
0,-7.07521730541123
0,-3.82057481312065
0,-3.71483253885033
0,-3.95935403583492
0,-5.59332338049067
0,-1.19391647659482
0,-3.60900652778139
0,-2.86366070319646
0,-3.4184172299893
0,-4.87825867986946
0,-3.7899685712246
0,-3.60625616311896
0,-4.01859842006124
0,-4.09407882791941
0,-4.49116235152602
0,-3.29011770150633
0,-3.20652201982722
0,-5.11300969462222
0,-3.4632325218877
0,-4.51335819294693
0,-5.37929303371751
0,-2.57227138749635
0,-3.71947402359989
0,-6.83353873990968
0,-3.30374162854229
0,-4.79553710305577
0,-4.48265692977386
0,-4.30533111784449
0,-3.60261615398511
0,-4.32748453267304
0,-3.50260436758941
0,-2.69207971394922
0,-1.68687029260235
0,-5.56027126436747
0,-3.47611727630711
0,-2.89724652507863
0,-3.11064309098518
0,-3.16458220428601
0,-4.25766985439929
0,-3.81162054957162
0,-5.69713372022623
0,-3.6638157929533
0,-3.9362304415106
0,-4.12648298632029
0,-3.35473862367588
0,-5.53023894455487
0,-3.07517781974268
0,-5.21913008588833
0,-4.73221797743905
0,-1.7752165007804
0,-4.47096366869943
0,-3.13149447306235
0,-4.79078723888043
0,-2.37299934837229
0,-4.45942883713935
0,-4.09474328325394
0,-4.63099279516301
0,-4.99771968735341
0,-5.89204380105817
0,-4.13402111840539
0,-4.99057405154667
0,-4.46910947651637
0,-4.55335221545714
0,-2.93690924498837
0,-3.91846138801148
0,-4.30890092913356
0,-4.24838233221395
0,-2.24840533983432
0,-2.16304496246787
0,-4.26281896258993
0,-3.08188166674704
0,-4.99865266163866
0,-4.24949511656167
0,-3.68999317126036
0,-2.6201188231618
0,-5.52292498678955
0,-3.28927916314905
0,-1.99504956285628
0,-4.25008715125055
0,-2.88448404606564
0,-5.15835651589852
0,-3.75424585639678
0,-4.37253263186903
0,-3.76857469206189
0,-3.32957086436253
0,-4.08319006600582
0,-2.20212820620536
0,-0.83866429719445
0,-3.09795510663824
0,-3.46283273651918
0,-4.18163521839909
0,-4.72415317453882
0,-3.02276395419953
0,-4.79762353284639
0,-1.79902598071639
0,-3.7864542936095
0,-3.42803981825079
0,-3.2725908466066
0,-4.137767095784
0,-3.78767698445247
0,-7.71959069217654
0,-4.13439050957101
0,-4.87197713157896
0,-3.47910534189425
0,-4.37820401013225
0,-4.75390357373279
0,-3.14111301177284
0,-2.31026218024506
0,-2.23516125352698
0,-5.22922390233066
0,-2.98404655619137
0,-2.93427850365927
0,-2.84861228288903
0,-2.29428081446142
0,-3.82648891656146
0,-3.65212335072801
0,-2.58243863273416
0,-4.13727848314791
0,-3.45525555201221
0,-2.46946864300909
0,-6.41261201845154
0,-4.92301609724669
0,-4.07311429101137
0,-3.99892108715595
0,-2.5518538294361
0,-2.94000026415065
0,-4.07389359228104
0,-4.43339307365936
0,-4.30564219770313
0,-4.29903418172971
0,-3.84134302181114
0,-3.31570916984902
0,-3.2749537643427
0,-3.09281374454793
0,-7.00076561964258
0,-4.24353915166417
0,-3.38611836588059
0,-3.28186164521832
0,-4.65315955075237
0,-3.60155563413919
0,-3.22643995408768
0,-4.14762727453373
0,-5.64720920613713
0,-4.34291723235796
0,-4.96516544774694
0,-5.84171640829371
0,-3.01509834045202
0,-2.22960047570146
0,-3.4652818116186
0,-5.38783922328606
0,-2.98321012971382
0,-4.53724102889743
0,-4.22528108565069
0,-3.21362486158127
0,-7.38394446481088
0,-4.89647459358867
0,-3.28862748544287
0,-6.99592544135423
0,-4.8590702622169
0,-3.279120625915
0,-3.14092365970347
0,-6.27389873405294
0,-4.99184027391292
0,0.017742015052154
0,-3.55923595399741
0,-2.57549451845156
