,group,datum
0,0,-4.142762087738907
1,0,-6.526578751585457
2,0,-3.6713494542374496
3,0,-3.9246809206930844
4,0,-4.901726367563575
5,0,-5.130600911616607
6,0,-4.159445273265268
7,0,-3.8562156661504976
8,0,-2.52752803769431
9,0,-4.217055383653561
10,0,-3.760589163656747
11,0,-4.568243114018025
12,0,-5.478044444507088
13,0,-3.8527438998151315
14,0,-3.5714399460962163
15,0,-2.4253256798910656
16,0,-5.256950642577
17,0,-3.784550168688448
18,0,-2.2301216750044506
19,0,-5.1458114125540355
20,0,-3.8096563808481037
21,0,-3.2183507426294
22,0,-4.1750520835263
23,0,-4.534729278471499
24,0,-1.245410487543407
25,0,-3.857535276491812
26,0,-3.400229638365176
27,0,-4.05647554081318
28,0,-6.5508542707604995
29,0,-4.975070239721147
30,0,-4.699883626761553
31,0,-3.1808242894371452
32,0,-2.7804179821063966
33,0,-5.120069399859405
34,0,-2.7401325155658625
35,0,-6.043111606661985
36,0,-6.1880402284687515
37,0,-4.905643168342267
38,0,-4.365309422783126
39,0,-3.298681246635352
40,0,-4.179984255229652
41,0,-3.630526891006687
42,0,-4.795866399292276
43,0,-2.791399101021112
44,0,-3.613224139348338
45,0,-5.018445389741747
46,0,-5.073567952895782
47,0,-2.4634870312266184
48,0,-4.813593362380555
49,0,-4.455550843555741
50,0,-2.874364053733577
51,0,-4.314889801813863
52,0,-3.4438678364902557
53,0,-4.419338766582151
54,0,-1.517534103903441
55,0,-3.893155195086308
56,0,-2.5210517639761303
57,0,-3.77833004578576
58,0,-3.6317481326367598
59,0,-2.9390245617308906
60,0,-7.339401279290923
61,0,-3.8530372223172096
62,0,-2.5621195645122707
63,0,-3.780027602254277
64,0,-3.8576338320083905
65,0,-3.8106889979135863
66,0,-3.2244542873444315
67,0,-3.8284046014710107
68,0,-3.693262855005647
69,0,-2.205044954636742
70,0,-4.630477041810901
71,0,-4.8468312949093955
72,0,-3.910964296315361
73,0,-2.0423053452349365
74,0,-2.9433371482048356
75,0,-5.207940684106085
76,0,-2.7612537573507376
77,0,-2.869074578331493
78,0,-4.262581462572158
79,0,-4.150825413953393
80,0,-4.377518150083286
81,0,-3.235778852660533
82,0,-4.228381934347059
83,0,-3.108275874707788
84,0,-4.406511494667166
85,0,-4.372513517394942
86,0,-2.4199596818954703
87,0,-3.854335348465014
88,0,-3.515250124089524
89,0,-4.671788347784806
90,0,-4.9852527521388925
91,0,-2.1576156248092793
92,0,-4.296005874920252
93,0,-4.721659360855324
94,0,-4.96579647803815
95,0,-3.7677003641482893
96,0,-3.4288263870550977
97,0,-3.779562384965797
98,0,-6.179714984055254
99,0,-4.1707539233852575
100,1,-3.6383282900032
101,1,-6.406771090323854
102,1,-4.9025872938302175
103,1,-1.5227379333935
104,1,-4.617267308298879
105,1,-3.396916706101332
106,1,-2.5493583408630967
107,1,-3.3228115999933134
108,1,-4.442764624326534
109,1,-4.611341883087057
110,1,-3.364304983400544
111,1,-3.203839238938758
112,1,-6.576448828473532
113,1,-6.385840779232195
114,1,-1.650466204706885
115,1,-2.950279780931543
116,1,-4.960898243847863
117,1,-5.9356039683059425
118,1,-4.370542253353192
119,1,-4.447120941759445
120,1,-3.2781686428346877
121,1,-4.3606503758135915
122,1,-4.087681387163777
123,1,-5.2946366853772115
124,1,-3.5869765439128294
125,1,-2.675935626881161
126,1,-3.8713380552113037
127,1,-3.529267183631579
128,1,-2.6018720145848695
129,1,-1.6167003708295167
130,1,-4.195729258825693
131,1,-1.6300308607285485
132,1,-4.819394022235697
133,1,-1.7322455783099437
134,1,-2.643595224302824
135,1,-4.768504184014611
136,1,-5.479299870570802
137,1,-3.9416972252248272
138,1,-2.0559141695263823
139,1,-5.319530693788936
140,1,-6.170455993077922
141,1,-5.181151499300164
142,1,-4.647655030727677
